id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
59.0,-115.52,32.67,6.0,2804.0,581.0,2807.0,594.0,2.0625,50001 - 100000
60.0,-115.53,34.91,12.0,807.0,199.0,246.0,102.0,2.5391,14999 - 50000
61.0,-115.53,32.99,25.0,2578.0,634.0,2082.0,565.0,1.7159,50001 - 100000
62.0,-115.53,32.97,35.0,1583.0,340.0,933.0,318.0,2.4063,50001 - 100000
63.0,-115.53,32.97,34.0,2231.0,545.0,1568.0,510.0,1.5217,50001 - 100000
64.0,-115.53,32.73,14.0,1527.0,325.0,1453.0,332.0,1.735,50001 - 100000
65.0,-115.54,32.99,23.0,1459.0,373.0,1148.0,388.0,1.5372,50001 - 100000
66.0,-115.54,32.99,17.0,1697.0,268.0,911.0,254.0,4.3523,50001 - 100000
67.0,-115.54,32.98,27.0,1513.0,395.0,1121.0,381.0,1.9464,50001 - 100000
68.0,-115.54,32.97,41.0,2429.0,454.0,1188.0,430.0,3.0091,50001 - 100000
69.0,-115.54,32.79,23.0,1712.0,403.0,1370.0,377.0,1.275,50001 - 100000
70.0,-115.55,32.98,33.0,2266.0,365.0,952.0,360.0,5.4349,100001 - 150000
71.0,-115.55,32.98,24.0,2565.0,530.0,1447.0,473.0,3.2593,50001 - 100000
72.0,-115.55,32.82,34.0,1540.0,316.0,1013.0,274.0,2.5664,50001 - 100000
73.0,-115.55,32.8,23.0,666.0,142.0,580.0,160.0,2.1136,50001 - 100000
74.0,-115.55,32.79,23.0,1004.0,221.0,697.0,201.0,1.6351,50001 - 100000
75.0,-115.55,32.79,22.0,565.0,162.0,692.0,141.0,1.2083,50001 - 100000
76.0,-115.55,32.78,5.0,2652.0,606.0,1767.0,536.0,2.8025,50001 - 100000
77.0,-115.56,32.96,21.0,2164.0,480.0,1164.0,421.0,3.8177,100001 - 150000
78.0,-115.56,32.8,28.0,1672.0,416.0,1335.0,397.0,1.5987,50001 - 100000
79.0,-115.56,32.8,25.0,1311.0,375.0,1193.0,351.0,2.1979,50001 - 100000
80.0,-115.56,32.8,15.0,1171.0,328.0,1024.0,298.0,1.3882,50001 - 100000
81.0,-115.56,32.79,20.0,2372.0,835.0,2283.0,767.0,1.1707,50001 - 100000
82.0,-115.56,32.79,18.0,1178.0,438.0,1377.0,429.0,1.3373,50001 - 100000
83.0,-115.56,32.78,46.0,2511.0,490.0,1583.0,469.0,3.0603,50001 - 100000
84.0,-115.56,32.78,35.0,1185.0,202.0,615.0,191.0,4.6154,50001 - 100000
85.0,-115.56,32.78,29.0,1568.0,283.0,848.0,245.0,3.1597,50001 - 100000
86.0,-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4.4821,100001 - 150000
87.0,-115.57,32.85,33.0,1365.0,269.0,825.0,250.0,3.2396,50001 - 100000
88.0,-115.57,32.85,17.0,1039.0,256.0,728.0,246.0,1.7411,50001 - 100000
89.0,-115.57,32.84,29.0,1207.0,301.0,804.0,288.0,1.9531,50001 - 100000
90.0,-115.57,32.83,31.0,1494.0,289.0,959.0,284.0,3.5282,50001 - 100000
91.0,-115.57,32.8,16.0,2276.0,594.0,1184.0,513.0,1.875,50001 - 100000
92.0,-115.57,32.79,34.0,1152.0,208.0,621.0,208.0,3.6042,50001 - 100000
93.0,-115.57,32.78,20.0,1534.0,235.0,871.0,222.0,6.2715,50001 - 100000
94.0,-115.57,32.78,15.0,1413.0,279.0,803.0,277.0,4.3021,50001 - 100000
95.0,-115.58,33.88,21.0,1161.0,282.0,724.0,186.0,3.1827,50001 - 100000
96.0,-115.58,32.81,5.0,805.0,143.0,458.0,143.0,4.475,50001 - 100000
97.0,-115.58,32.81,10.0,1088.0,203.0,533.0,201.0,3.6597,50001 - 100000
98.0,-115.58,32.79,14.0,1687.0,507.0,762.0,451.0,1.6635,50001 - 100000
99.0,-115.58,32.78,5.0,2494.0,414.0,1416.0,421.0,5.7843,100001 - 150000
100.0,-115.59,32.85,20.0,1608.0,274.0,862.0,248.0,4.875,50001 - 100000
101.0,-115.59,32.79,8.0,2183.0,307.0,1000.0,287.0,6.3814,150001 - 200000
102.0,-115.59,32.69,30.0,935.0,177.0,649.0,148.0,2.5769,50001 - 100000
103.0,-115.6,33.2,37.0,709.0,187.0,390.0,142.0,2.4511,50001 - 100000
104.0,-115.6,32.87,3.0,1629.0,317.0,1005.0,312.0,4.1293,50001 - 100000
105.0,-115.62,33.04,20.0,1121.0,244.0,766.0,230.0,2.2969,50001 - 100000
106.0,-115.62,33.04,17.0,1009.0,231.0,745.0,217.0,2.0463,50001 - 100000
107.0,-115.64,32.8,23.0,1228.0,235.0,569.0,235.0,3.1667,100001 - 150000
108.0,-115.69,32.79,18.0,1564.0,340.0,1161.0,343.0,2.1792,50001 - 100000
109.0,-115.72,32.75,16.0,348.0,99.0,123.0,54.0,2.0938,50001 - 100000
110.0,-115.73,33.36,19.0,749.0,238.0,476.0,169.0,1.7727,14999 - 50000
111.0,-115.73,33.35,23.0,1586.0,448.0,338.0,182.0,1.2132,14999 - 50000
112.0,-115.73,33.09,27.0,452.0,103.0,258.0,61.0,2.9,50001 - 100000
113.0,-115.73,32.8,44.0,472.0,81.0,206.0,57.0,2.2083,50001 - 100000
114.0,-115.8,33.26,2.0,96.0,18.0,30.0,16.0,5.3374,14999 - 50000
115.0,-115.84,33.49,20.0,1660.0,379.0,637.0,250.0,2.0347,50001 - 100000
116.0,-115.85,34.2,34.0,3868.0,1257.0,890.0,423.0,1.3571,14999 - 50000
117.0,-115.88,32.93,15.0,208.0,49.0,51.0,20.0,4.0208,14999 - 50000
118.0,-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1.7857,50001 - 100000
119.0,-115.91,33.36,15.0,459.0,95.0,160.0,73.0,0.922,50001 - 100000
120.0,-115.93,35.55,18.0,1321.0,272.0,754.0,226.0,3.4028,50001 - 100000
121.0,-115.94,33.38,5.0,186.0,43.0,41.0,21.0,2.7,50001 - 100000
122.0,-115.95,33.28,12.0,99.0,25.0,37.0,17.0,1.8958,50001 - 100000
123.0,-115.96,33.3,27.0,322.0,81.0,112.0,57.0,1.125,50001 - 100000
124.0,-115.98,33.32,8.0,240.0,46.0,63.0,24.0,1.4688,50001 - 100000
125.0,-115.99,33.4,15.0,1945.0,536.0,515.0,273.0,2.0109,50001 - 100000
126.0,-116.0,33.19,16.0,245.0,57.0,81.0,33.0,1.2639,50001 - 100000
127.0,-116.0,32.74,26.0,1134.0,280.0,329.0,158.0,1.4338,14999 - 50000
128.0,-116.01,33.51,24.0,2985.0,958.0,4042.0,905.0,1.7344,50001 - 100000
129.0,-116.01,33.41,20.0,1996.0,515.0,659.0,295.0,2.8684,50001 - 100000
130.0,-116.02,34.18,8.0,569.0,97.0,312.0,96.0,4.3021,50001 - 100000
131.0,-116.05,34.12,19.0,301.0,65.0,150.0,56.0,3.125,50001 - 100000
132.0,-116.05,33.33,17.0,290.0,94.0,135.0,57.0,1.7292,50001 - 100000
133.0,-116.06,34.2,29.0,1202.0,290.0,383.0,156.0,1.3371,50001 - 100000
134.0,-116.06,34.15,15.0,10377.0,2331.0,4507.0,1807.0,2.2466,50001 - 100000
135.0,-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2.425,50001 - 100000
136.0,-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2.6111,50001 - 100000
137.0,-116.11,33.64,20.0,1273.0,354.0,1548.0,355.0,2.0871,50001 - 100000
138.0,-116.12,33.53,17.0,2421.0,820.0,2971.0,685.0,1.654,50001 - 100000
139.0,-116.14,34.22,32.0,3298.0,1228.0,763.0,360.0,1.875,14999 - 50000
140.0,-116.15,34.14,18.0,3312.0,705.0,1251.0,512.0,3.0139,50001 - 100000
141.0,-116.15,33.69,22.0,197.0,54.0,331.0,70.0,2.9286,100001 - 150000
142.0,-116.15,33.64,10.0,1711.0,499.0,1896.0,443.0,1.6557,50001 - 100000
143.0,-116.16,33.68,12.0,1230.0,277.0,1334.0,260.0,2.2679,50001 - 100000
144.0,-116.17,33.67,18.0,3585.0,800.0,3873.0,788.0,2.5714,50001 - 100000
145.0,-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306,14999 - 50000
146.0,-116.17,33.53,13.0,1713.0,512.0,1978.0,442.0,2.1287,50001 - 100000
147.0,-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2.375,150001 - 200000
148.0,-116.18,33.67,25.0,2888.0,654.0,2940.0,660.0,2.2141,50001 - 100000
149.0,-116.19,33.67,16.0,1859.0,476.0,1994.0,477.0,1.7297,50001 - 100000
150.0,-116.2,33.7,26.0,2399.0,625.0,2654.0,535.0,2.2989,50001 - 100000
151.0,-116.2,33.63,23.0,1152.0,273.0,1077.0,235.0,2.5,50001 - 100000
152.0,-116.2,32.64,28.0,1608.0,409.0,567.0,254.0,1.4648,50001 - 100000
153.0,-116.21,33.75,22.0,894.0,192.0,830.0,202.0,3.0673,50001 - 100000
154.0,-116.21,33.72,28.0,2488.0,714.0,2891.0,676.0,2.3169,50001 - 100000
155.0,-116.21,33.71,19.0,3114.0,787.0,3157.0,772.0,1.7083,50001 - 100000
156.0,-116.21,33.68,34.0,584.0,176.0,625.0,166.0,1.5809,50001 - 100000
157.0,-116.21,33.66,19.0,1596.0,295.0,1201.0,282.0,3.8846,100001 - 150000
158.0,-116.22,36.0,14.0,1372.0,386.0,436.0,213.0,1.1471,14999 - 50000
159.0,-116.22,34.21,23.0,1175.0,468.0,355.0,151.0,2.2083,14999 - 50000
160.0,-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3.3107,50001 - 100000
161.0,-116.22,33.73,38.0,1695.0,352.0,1279.0,305.0,2.1217,50001 - 100000
162.0,-116.22,33.72,28.0,826.0,258.0,979.0,245.0,1.7172,50001 - 100000
163.0,-116.22,33.7,9.0,3861.0,849.0,825.0,401.0,3.2833,100001 - 150000
164.0,-116.23,33.73,29.0,1133.0,221.0,918.0,239.0,2.8648,50001 - 100000
165.0,-116.23,33.72,32.0,4981.0,1326.0,3779.0,1186.0,1.7805,50001 - 100000
166.0,-116.23,33.71,17.0,4874.0,1349.0,5032.0,1243.0,2.444,50001 - 100000
167.0,-116.24,33.73,14.0,2774.0,566.0,1530.0,505.0,3.0682,100001 - 150000
168.0,-116.24,33.72,25.0,5236.0,1039.0,2725.0,935.0,3.775,50001 - 100000
169.0,-116.24,33.71,10.0,9033.0,2224.0,5525.0,1845.0,2.7598,50001 - 100000
170.0,-116.25,33.81,24.0,880.0,187.0,507.0,169.0,3.4583,50001 - 100000
171.0,-116.25,33.75,33.0,278.0,91.0,375.0,81.0,2.025,14999 - 50000
172.0,-116.25,33.69,5.0,1664.0,444.0,907.0,374.0,2.7667,50001 - 100000
173.0,-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10.2948,350001 - 400000
174.0,-116.26,33.07,17.0,934.0,284.0,452.0,184.0,1.9875,50001 - 100000
175.0,-116.27,34.13,37.0,452.0,109.0,184.0,59.0,3.7292,50001 - 100000
176.0,-116.29,33.74,6.0,12991.0,2555.0,4571.0,1926.0,4.7195,150001 - 200000
177.0,-116.29,33.72,5.0,3584.0,760.0,1097.0,470.0,3.1771,150001 - 200000
178.0,-116.3,33.68,10.0,2387.0,481.0,863.0,304.0,2.8882,100001 - 150000
179.0,-116.31,34.13,20.0,2352.0,556.0,1217.0,481.0,1.6063,50001 - 100000
180.0,-116.31,33.67,15.0,2214.0,410.0,1152.0,350.0,2.9187,50001 - 100000
181.0,-116.31,33.67,11.0,4686.0,851.0,2466.0,731.0,3.3333,50001 - 100000
182.0,-116.31,33.66,7.0,4497.0,831.0,2248.0,713.0,3.6354,50001 - 100000
183.0,-116.32,34.14,18.0,1880.0,487.0,994.0,425.0,1.69,50001 - 100000
184.0,-116.32,34.1,10.0,4256.0,861.0,1403.0,686.0,2.6618,50001 - 100000
185.0,-116.32,33.28,19.0,1791.0,367.0,327.0,185.0,3.3625,50001 - 100000
186.0,-116.33,34.15,13.0,1808.0,411.0,735.0,320.0,1.5489,50001 - 100000
187.0,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.036,150001 - 200000
188.0,-116.33,33.72,11.0,12327.0,2000.0,2450.0,1139.0,7.4382,350001 - 400000
189.0,-116.34,33.36,24.0,2746.0,514.0,731.0,295.0,3.3214,150001 - 200000
190.0,-116.35,34.13,9.0,1969.0,406.0,805.0,349.0,1.5491,50001 - 100000
191.0,-116.35,32.74,16.0,2595.0,606.0,1046.0,367.0,1.7137,100001 - 150000
192.0,-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1.7844,50001 - 100000
193.0,-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312,100001 - 150000
194.0,-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7.8005,300001 - 350000
195.0,-116.37,33.19,12.0,4890.0,1152.0,1289.0,570.0,2.5795,50001 - 100000
196.0,-116.38,34.2,14.0,4985.0,1238.0,2517.0,954.0,2.0674,50001 - 100000
197.0,-116.38,34.1,6.0,2104.0,348.0,841.0,320.0,4.1458,100001 - 150000
198.0,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,150001 - 200000
199.0,-116.38,33.73,10.0,11836.0,2405.0,3811.0,1570.0,4.0079,100001 - 150000
200.0,-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556,250001 - 300000
201.0,-116.39,34.15,15.0,5583.0,1149.0,2709.0,964.0,1.9779,50001 - 100000
202.0,-116.39,33.82,15.0,11115.0,2257.0,4122.0,1653.0,2.7219,50001 - 100000
203.0,-116.39,33.72,19.0,7646.0,1618.0,2496.0,1075.0,3.5569,100001 - 150000
204.0,-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,200001 - 250000
205.0,-116.4,34.12,16.0,5648.0,1089.0,2524.0,1008.0,2.6739,50001 - 100000
206.0,-116.4,34.09,9.0,4855.0,872.0,2098.0,765.0,3.2723,50001 - 100000
207.0,-116.4,33.78,8.0,3059.0,500.0,612.0,208.0,6.8729,250001 - 300000
208.0,-116.41,33.74,25.0,2475.0,476.0,910.0,387.0,3.3639,150001 - 200000
209.0,-116.41,33.74,17.0,4289.0,893.0,958.0,440.0,2.4659,150001 - 200000
210.0,-116.42,33.79,12.0,7095.0,1260.0,1179.0,570.0,4.9444,250001 - 300000
211.0,-116.42,33.76,14.0,16921.0,2837.0,2524.0,1262.0,7.6281,300001 - 350000
212.0,-116.42,33.68,15.0,3895.0,782.0,900.0,529.0,2.2208,100001 - 150000
213.0,-116.42,33.51,26.0,186.0,48.0,102.0,39.0,2.5625,100001 - 150000
214.0,-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2.4828,50001 - 100000
215.0,-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3.5223,100001 - 150000
216.0,-116.43,33.75,24.0,2596.0,438.0,473.0,237.0,3.7727,450001 - 500000
217.0,-116.44,34.16,19.0,1867.0,361.0,758.0,321.0,2.8929,50001 - 100000
218.0,-116.44,34.12,18.0,5584.0,1303.0,2250.0,1158.0,1.5823,50001 - 100000
219.0,-116.44,33.93,17.0,5293.0,1266.0,1201.0,599.0,1.6849,50001 - 100000
220.0,-116.44,33.77,18.0,4872.0,1110.0,955.0,656.0,2.2439,50001 - 100000
221.0,-116.44,33.74,5.0,846.0,249.0,117.0,67.0,7.9885,400001 - 450000
222.0,-116.45,33.8,9.0,5534.0,1206.0,2283.0,1008.0,3.6161,50001 - 100000
223.0,-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3.0859,100001 - 150000
224.0,-116.45,32.65,22.0,2680.0,643.0,1644.0,516.0,2.1949,100001 - 150000
225.0,-116.46,33.82,6.0,4863.0,920.0,3010.0,828.0,3.9508,100001 - 150000
226.0,-116.46,33.78,33.0,2565.0,745.0,2301.0,638.0,2.5477,50001 - 100000
227.0,-116.47,34.07,22.0,5473.0,1234.0,2581.0,1098.0,1.9375,50001 - 100000
228.0,-116.47,33.94,18.0,2233.0,471.0,919.0,388.0,3.2578,50001 - 100000
229.0,-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4.3111,100001 - 150000
230.0,-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497,50001 - 100000
231.0,-116.47,33.78,27.0,1781.0,441.0,759.0,340.0,3.3162,100001 - 150000
232.0,-116.48,33.94,10.0,3254.0,913.0,923.0,486.0,1.8,50001 - 100000
233.0,-116.48,33.79,14.0,9425.0,2020.0,1711.0,1000.0,2.6298,100001 - 150000
234.0,-116.48,33.61,8.0,1294.0,272.0,457.0,199.0,2.9167,100001 - 150000
235.0,-116.49,33.82,27.0,3316.0,636.0,2362.0,532.0,2.9569,50001 - 100000
236.0,-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3.7396,100001 - 150000
237.0,-116.5,33.98,5.0,4332.0,868.0,1420.0,567.0,4.0417,100001 - 150000
238.0,-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,50001 - 100000
239.0,-116.5,33.82,16.0,343.0,85.0,29.0,14.0,2.1042,50001 - 100000
240.0,-116.5,33.81,26.0,5032.0,1229.0,3086.0,1183.0,2.5399,50001 - 100000
241.0,-116.5,33.69,20.0,4810.0,1074.0,1304.0,740.0,2.25,200001 - 250000
242.0,-116.51,34.85,15.0,3149.0,713.0,1281.0,486.0,2.0,50001 - 100000
243.0,-116.51,34.45,21.0,8502.0,2634.0,2330.0,991.0,1.3811,50001 - 100000
244.0,-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1.4665,50001 - 100000
245.0,-116.51,33.94,12.0,3369.0,780.0,1315.0,584.0,1.7388,50001 - 100000
246.0,-116.51,33.89,21.0,1284.0,306.0,537.0,233.0,1.95,50001 - 100000
247.0,-116.52,33.97,13.0,3921.0,754.0,1902.0,665.0,3.3616,50001 - 100000
248.0,-116.52,33.85,13.0,7559.0,1444.0,3189.0,1105.0,3.4886,100001 - 150000
249.0,-116.52,33.84,17.0,4465.0,859.0,853.0,445.0,3.6875,100001 - 150000
250.0,-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2.5212,100001 - 150000
251.0,-116.52,32.9,18.0,4454.0,852.0,1754.0,656.0,4.57,150001 - 200000
252.0,-116.53,33.95,18.0,2990.0,648.0,1280.0,532.0,2.625,50001 - 100000
253.0,-116.53,33.88,5.0,4423.0,763.0,1906.0,667.0,4.6855,100001 - 150000
254.0,-116.53,33.85,16.0,10077.0,2186.0,3048.0,1337.0,2.9647,100001 - 150000
255.0,-116.53,33.84,28.0,8399.0,1839.0,3470.0,1340.0,2.5885,150001 - 200000
256.0,-116.53,33.78,18.0,2547.0,463.0,411.0,214.0,2.5489,200001 - 250000
257.0,-116.54,33.81,31.0,6814.0,1714.0,2628.0,1341.0,2.1176,100001 - 150000
258.0,-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3.1493,150001 - 200000
259.0,-116.54,33.8,22.0,6050.0,1387.0,1432.0,890.0,2.2216,150001 - 200000
260.0,-116.54,33.79,18.0,9374.0,1780.0,1678.0,919.0,3.9737,200001 - 250000
261.0,-116.55,33.84,28.0,2992.0,562.0,676.0,346.0,5.7613,450001 - 500000
262.0,-116.56,34.06,15.0,6928.0,1529.0,2568.0,1075.0,2.5405,50001 - 100000
263.0,-116.56,33.83,36.0,1765.0,399.0,451.0,264.0,2.6083,300001 - 350000
264.0,-116.56,33.05,15.0,1985.0,361.0,536.0,209.0,4.125,100001 - 150000
265.0,-116.57,35.43,8.0,9975.0,1743.0,6835.0,1439.0,2.7138,14999 - 50000
266.0,-116.57,34.0,20.0,260.0,67.0,69.0,50.0,3.5208,50001 - 100000
267.0,-116.57,33.94,29.0,551.0,166.0,224.0,107.0,1.1917,14999 - 50000
268.0,-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3.3897,200001 - 250000
269.0,-116.57,33.64,10.0,489.0,82.0,183.0,74.0,6.2702,300001 - 350000
270.0,-116.58,32.69,19.0,4085.0,876.0,2133.0,718.0,2.919,100001 - 150000
271.0,-116.6,33.49,16.0,3730.0,827.0,1346.0,592.0,2.183,100001 - 150000
272.0,-116.6,33.06,23.0,1731.0,365.0,612.0,258.0,2.7813,150001 - 200000
273.0,-116.61,33.04,11.0,2522.0,538.0,616.0,269.0,3.875,150001 - 200000
274.0,-116.62,34.23,14.0,6438.0,1719.0,1586.0,691.0,1.6136,50001 - 100000
275.0,-116.62,32.86,18.0,4115.0,847.0,2032.0,745.0,4.0159,150001 - 200000
276.0,-116.66,32.79,13.0,843.0,157.0,918.0,152.0,6.2152,200001 - 250000
277.0,-116.67,32.97,16.0,349.0,74.0,120.0,43.0,5.359,150001 - 200000
278.0,-116.68,33.71,21.0,3460.0,711.0,658.0,255.0,3.5882,150001 - 200000
279.0,-116.68,33.16,26.0,1820.0,374.0,1001.0,324.0,2.1797,150001 - 200000
280.0,-116.71,33.94,12.0,549.0,109.0,209.0,90.0,3.0208,50001 - 100000
281.0,-116.72,34.89,14.0,4527.0,875.0,1640.0,590.0,2.8594,50001 - 100000
282.0,-116.72,33.56,13.0,3166.0,682.0,1250.0,475.0,2.355,100001 - 150000
283.0,-116.74,33.62,11.0,2385.0,661.0,682.0,242.0,2.9141,200001 - 250000
284.0,-116.74,33.33,17.0,4190.0,946.0,1802.0,673.0,2.4744,150001 - 200000
285.0,-116.75,33.83,16.0,5277.0,1070.0,657.0,276.0,3.3333,100001 - 150000
286.0,-116.75,32.85,17.0,4863.0,845.0,2266.0,769.0,4.2321,200001 - 250000
287.0,-116.75,32.82,17.0,3348.0,481.0,1222.0,443.0,6.6361,300001 - 350000
288.0,-116.76,34.29,14.0,3959.0,849.0,1064.0,376.0,2.8214,100001 - 150000
289.0,-116.76,34.14,4.0,42.0,10.0,9.0,3.0,0.536,14999 - 50000
290.0,-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3.0694,150001 - 200000
291.0,-116.76,32.84,16.0,3311.0,702.0,1627.0,624.0,3.1196,150001 - 200000
292.0,-116.76,32.74,14.0,4085.0,751.0,2129.0,688.0,4.7367,200001 - 250000
